district_id,eigen,rank
2895,1.74401843799e-4,2522
2896,3.0092090214304e-4,810
2897,4.1510242408098e-4,270
2898,3.5651317074804e-4,481
2899,3.2013629895096e-4,680
2900,2.3755942066163e-4,1481
2901,1.9227311737935e-4,2247
2902,1.4914578187641e-4,2946
2903,3.5273154952405e-4,493
2904,0.00016411056099850001,2696
2905,1.8517163271117e-4,2360
2906,1.3583987720163e-4,3171
2907,1.7278793142857e-4,2559
2908,6.8875153231809e-4,28
2909,4.5449425560266e-4,209
2910,1.4412665750027e-4,3027
2911,2.798881676849e-4,979
2912,1.6309175584274e-4,2713
2913,2.9060963583477e-4,889
2914,3.2805303813459e-4,622
2915,1.6991867417005e-4,2608
2916,9.57393081019162e-5,3829
2917,2.2139495388121e-4,1710
2918,2.2630476299755e-4,1641
2919,5.4590068168965e-4,99
2920,1.7312876005984e-4,2554
2921,1.8732046308564e-4,2318
2922,2.5337622724716e-4,1257
2923,8.641288903773483e-5,3987
2924,2.7918093730027e-4,989
2925,9.529460729178968e-5,3834
2926,1.0559876120832e-4,3658
2927,1.1068674636159e-4,3572
2928,2.4199839725405e-4,1428
2929,3.9549399955566e-4,348
2930,3.1000116790132e-4,752
2931,1.2641846556491e-4,3312
2932,1.0352346876199e-4,3694
2933,7.809272377594148e-5,4107
2934,1.3659207787611e-4,3156
2935,1.2858062392171e-4,3279
2936,3.3655857593542596e-5,4626
2937,9.649481017425638e-5,3818
2938,1.0647655263126e-4,3646
2939,4.0791621457469e-4,302
2940,3.2323387754915e-4,652
2941,1.0595861915173e-4,3654
2942,3.952233826780922e-5,4582
2943,3.9041350175298e-4,367
2944,1.1217616961606e-4,3547
2945,2.4916181706692e-4,1316
2946,1.9063201987049e-4,2273
2947,1.6437351429219e-4,2689
2948,1.2322266697321e-4,3364
2949,1.7919223642035e-4,2457
2950,1.4463915846316e-4,3019
2951,6.264218533422956e-5,4346
2952,8.846884801549819e-5,3941
2953,4.6725925586043103e-5,4530
2954,1.8463793816975e-4,2370
2955,2.0805040297649e-4,2001
2956,3.6720234519779e-4,444
2957,9.509355214770682e-5,3838
2958,6.249161839123874e-5,4347
2959,1.5991019153069e-4,2766
2960,1.9555938287689e-4,2196
2961,1.0008384384725e-4,3763
2962,2.6307589146601e-4,1151
2963,1.7062385174131e-4,2596
2964,5.830717151685051e-5,4396
2965,3.0264088814118e-4,797
2966,2.3378590506535e-4,1532
2967,2.0011528099508e-4,2125
2968,3.2421744178995e-4,645
2969,1.5666472079921e-4,2825
2970,2.1195784188434e-4,1949
2971,1.5415718162694e-4,2866
2972,2.5037978825656e-4,1299
2973,6.225253057192132e-5,4351
2974,7.922603534075974e-5,4094
2975,1.1184371845721e-4,3549
2976,2.6952770471313e-4,1085
2977,1.5074592331091e-4,2928
2978,1.5745013487721e-4,2814
2979,4.6273309108995e-4,186
2980,6.437367921067378e-5,4322
2981,2.9819975558356e-4,834
2982,2.1029869724416e-4,1970
2983,2.8264287376978e-4,954
2984,3.1296049212496e-4,730
2985,3.32122054854e-4,594
2986,1.2690046451369e-4,3306
2987,3.689648296619e-4,436
2998,4.1394970778836e-4,275
2999,3.178494783494e-4,692
3000,3.2910440101405e-4,614
3001,2.1815309835994e-4,1768
3002,9.468077248329706e-5,3846
3003,1.1806871099833e-4,3447
3004,1.0342945398611e-4,3701
3005,1.0971141507253e-4,3585
3006,1.256591979521e-4,3324
3039,2.9861664960637e-4,830
3040,1.9841945395805e-4,2143
3041,3.8396969771955e-4,388
3042,1.6926725132858e-4,2623
3043,2.4920442427757e-4,1314
3044,1.6736844899032e-4,2652
3045,2.3806479700235e-4,1477
3046,4.0799402573474e-4,301
3047,2.3088913641762e-4,1572
3048,1.6763587928551e-4,2646
3049,2.0623497894128e-4,2031
3050,9.459229272914423e-5,3847
3051,7.480838142047839e-5,4157
3052,1.3899960949205e-4,3117
3053,4.5982003310241e-4,198
3054,3.2837644672179e-4,621
3055,8.520312013074325e-5,4011
3056,2.2414173296287e-4,1669
3057,1.7056952914959e-4,2598
3058,6.899476644056651e-5,4250
3059,5.568362484845795e-5,4425
3060,1.8011140959055e-4,2444
3061,1.9877976214999e-4,2139
3062,1.6127549486028e-4,2749
3063,1.1062127002899e-4,3573
3064,7.415379652354185e-5,4175
3065,1.24280746814e-4,3347
3066,4.381106077881968e-5,4546
3067,1.1056334029619e-4,3574
3068,2.3718936059855e-4,1487
3069,1.4868885697138e-4,2952
3070,1.7605323699506e-4,2500
3071,6.491988483109557e-5,4310
3072,1.8794389537746e-4,2309
3073,1.1713106274533e-4,3464
3075,2.6513950028586e-4,1123
3076,1.737939890523e-4,2536
3077,1.1113920555147e-4,3563
3078,4.4902933801668e-4,215
3079,1.0321696082105e-4,3704
3080,1.7678481983371e-4,2487
3081,1.664141662259e-4,2665
3082,2.1009882357039e-4,1975
3083,2.6400488135969e-4,1135
3084,2.1206691732761e-4,1946
3085,2.2780139238759e-4,1613
3086,1.9342637273384e-4,2228
3087,2.7652649737684e-4,1018
3088,2.054175007611e-4,2043
3089,2.1893094108397e-4,1752
3090,1.7358237534094e-4,2541
3091,2.7007833310058e-4,1078
3092,4.0832121354399e-4,300
3093,6.81257556842755e-5,4258
3094,1.1460596018323e-4,3504
3095,1.5747780953849e-4,2813
3096,1.8023680977204e-4,2443
3097,2.2227330927425e-4,1697
3098,1.5986770014871e-4,2767
3099,1.5898773652103e-4,2783
3100,1.7612880505189e-4,2498
3101,2.4662944701421e-4,1348
3102,2.2909570968894e-4,1600
3103,2.4280604904577e-4,1420
3104,2.8602929302768e-4,918
3105,1.5550911392475e-4,2843
3106,2.0176190507689e-4,2093
3107,2.8851064642173e-4,901
3108,9.4283282894892e-5,3852
3109,2.6178347101667e-4,1161
3110,1.0107680349691e-4,3733
3111,2.5563817478517e-4,1230
3112,7.2681488638407e-5,4203
3113,3.4811085665252e-4,510
3114,3.6405603007239e-4,455
3115,2.8330039338979e-4,950
3116,6.116134375661896e-5,4366
3117,2.1630200281042e-4,1785
3118,3.3914354999661e-4,568
3119,2.4385932954542e-4,1404
3120,1.3608539125299e-4,3167
3121,6.703635740296378e-5,4278
3122,3.3187151535071e-4,597
3123,3.6898862499972625e-5,4600
3124,2.8514248019196e-4,929
3125,7.390072173267956e-5,4181
3126,4.3209578770358e-4,237
3127,9.102405053054736e-5,3903
3128,3.6258415698797e-4,465
3129,2.0903843314609e-4,1989
3130,4.752605163319708e-5,4520
3131,3.244784466537355e-5,4629
3132,4.5555625005139e-4,206
3133,1.0819298955709e-4,3612
3134,1.8251091364603e-4,2408
3135,3.9931015347512e-4,331
3136,1.984963718259e-4,2142
3137,1.0073249027014e-4,3744
3138,2.9066089500066e-4,887
3139,2.2436877574174e-4,1665
3140,2.2795705830627e-4,1611
3141,3.9142747484324e-4,364
3142,2.5486965498057e-4,1234
3143,1.6594953404501e-4,2671
3144,2.3550884837528e-4,1504
3145,2.0346504956149e-4,2066
3146,2.4581890104763e-4,1363
3147,1.1909824401563e-4,3435
3148,1.7849415341676e-4,2465
3149,2.1630200281042e-4,1785
3150,1.7010905484501e-4,2603
3151,1.978304109548e-4,2154
3152,1.6176139733538e-4,2741
3153,2.448852151615e-4,1382
3154,3.4571626133774e-4,523
3155,2.2316400976697e-4,1686
3156,2.1630200281042e-4,1785
3157,3.7202351800553e-4,421
3158,1.0078275776089e-4,3740
3159,3.7067893554193e-4,427
3160,2.1917073806671e-4,1749
3161,3.7328451707708e-4,418
3162,3.9896917291846e-4,335
3163,2.8122815092493e-4,962
3164,2.6985288347695e-4,1081
3165,2.4609893542704e-4,1357
3166,2.214298941702e-4,1709
3167,1.7160856738129e-4,2577
3168,1.7382481419639e-4,2535
3169,5.340511549335686e-5,4458
3170,2.8934169083029e-4,895
3171,1.9352852899747e-4,2226
3172,1.7630836232578e-4,2494
3173,2.1630200281042e-4,1785
3174,1.2853540897304e-4,3280
3175,9.181395802042934e-5,3885
3176,1.6101400325515e-4,2752
3177,1.0106774032074e-4,3734
3178,8.778460800032009e-5,3955
3179,2.6154025724778e-4,1163
3180,1.6864183599889e-4,2633
3181,2.1630200281042e-4,1785
3182,2.4556803439354e-4,1368
3183,1.0045820646047e-4,3753
3184,1.0062070782855e-4,3749
3185,2.1630200281042e-4,1785
3186,4.5804532130985e-4,203
3187,1.2617076864481e-4,3314
3188,1.7256356127097e-4,2563
3189,3.6039790485192e-4,471
3190,4.093259484877e-4,298
3191,2.6300852151231e-4,1152
3192,1.848357009782e-4,2367
3193,2.0694581312511e-4,2017
3194,2.8420726858521e-4,939
3195,2.9576535312246e-4,852
3196,1.2058145483266e-4,3408
3197,1.4391100059621e-4,3031
3198,8.598386463306819e-5,3996
3199,5.739995626143513e-5,4406
3200,2.1630200281042e-4,1785
3201,1.6403381724939e-4,2698
3202,4.0191057885223e-4,319
3203,4.233176517902762e-5,4568
3204,2.7737274535668e-4,1005
3205,2.2634148540198e-4,1640
3206,2.2646881298222e-4,1639
3207,3.7733120858557e-4,404
3208,2.9649547818515e-4,848
3209,2.3828458183629e-4,1474
3210,2.3905343873534e-4,1464
3211,3.185390813061e-4,688
3212,1.9377625295783e-4,2220
3213,6.425876755109012e-5,4325
3215,2.1630200281042e-4,1785
3216,1.3716304505842e-4,3144
3217,1.1166092787892e-4,3553
3218,9.674612674862952e-5,3811
3219,2.5804281992484e-4,1200
3220,2.0270743235089e-4,2078
3221,1.5337787581235e-4,2880
3222,2.6548289854556e-4,1119
3223,1.5285831869012e-4,2889
3224,3.4583432910237e-4,522
3225,1.5629638275791e-4,2831
3226,1.7357597376619e-4,2543
3227,1.6428186545076e-4,2692
3228,1.0552689816726e-4,3659
3229,1.9237780944359e-4,2245
3230,2.6853091274735e-4,1094
3231,2.1630200281042e-4,1785
3232,3.374003100723e-4,576
3233,1.8117593988364e-4,2430
3234,9.340143177940648e-5,3868
3235,6.9606234163651e-4,25
3236,2.5431281162526e-4,1244
3237,1.0043351512464e-4,3754
3238,1.2485296446887e-4,3339
3239,2.7397558626765e-4,1045
3240,1.6135591203014e-4,2747
3241,9.375187883602972e-5,3865
3242,1.2296270171685e-4,3370
3243,2.2503185005542e-4,1652
3244,1.51529953765e-4,2919
3245,2.324935623443e-4,1552
3246,1.7928225156791e-4,2453
3247,2.0801378053187e-4,2002
3248,3.1865178542728e-4,685
3250,2.1630200281042e-4,1785
3251,2.3052774890728e-4,1579
3252,2.7221165613273e-4,1062
3253,2.4681171275895e-4,1343
3254,2.6322850878518e-4,1150
3255,1.4766809185247e-4,2964
3256,1.7417952601644e-4,2529
3257,2.4757053211457e-4,1337
3258,1.529745931968e-4,2885
3259,1.4023911742808e-4,3099
3260,2.3580015230736e-4,1499
3261,2.7680610493869e-4,1013
3262,1.8608810262464e-4,2343
3264,2.1630200281042e-4,1785
3265,3.5336468841941e-4,490
3266,1.414195334425e-4,3083
3267,3.8832975086399e-4,372
3268,1.1734869954262e-4,3458
3269,2.408610652772e-4,1445
3270,2.1433644874239e-4,1904
3271,1.2049078231249e-4,3410
3272,1.1870665238659e-4,3440
3273,3.0134767631226e-4,806
3274,9.64677325087959e-5,3819
3275,7.473478403148122e-5,4163
3276,1.8503622373735e-4,2364
3277,3.244784466537355e-5,4629
3278,1.7371383347824e-4,2538
3279,4.3274440615078e-4,236
3280,1.8166756360599e-4,2418
3281,3.5894050050176e-4,474
3282,1.9876894014756e-4,2140
3283,2.5247092954124e-4,1274
3284,3.7192906044969e-4,422
3285,7.382326905442147e-5,4182
3286,1.4292660428996e-4,3053
3287,4.1366352301474e-4,277
3288,3.2653752941916e-4,629
3289,3.5994649229549e-4,472
3290,3.244784466537355e-5,4629
3291,2.1630200281042e-4,1785
3292,2.3070021160972e-4,1575
3293,2.3346878428954e-4,1539
3295,2.4154961372694e-4,1436
3296,1.2916439694692e-4,3271
3297,1.8203947478707e-4,2414
3298,1.8791824756597e-4,2310
3299,1.6869317122036e-4,2631
3300,2.629450117051e-4,1154
3301,3.8478187297551e-4,384
3302,2.7246307875167e-4,1061
3303,1.2006599853612e-4,3419
3304,1.7729338344939e-4,2481
3305,3.4004291407176e-4,561
3306,3.2155641236752e-4,665
3307,1.3806338595462e-4,3131
3309,1.6248687634942e-4,2723
3310,1.3711185441428e-4,3146
3311,1.8099632016319e-4,2432
3312,5.95293882521284e-5,4383
3313,1.6470054414679e-4,2687
3314,1.3906158483629e-4,3115
3315,1.6353180873431e-4,2707
3316,4.965040310906087e-5,4500
3317,9.202102594517848e-5,3881
3318,1.5257952270781e-4,2898
3319,1.0680399876589e-4,3639
3320,2.7147786515656e-4,1069
3322,9.505175209049249e-5,3840
3323,1.9897587257902e-4,2137
3324,2.5030894615848e-4,1302
3325,1.095492161414e-4,3588
3326,1.8643011299533e-4,2337
3327,1.7738169954757e-4,2477
3328,2.2501555194068e-4,1654
3329,1.7705508248079e-4,2486
3330,7.2093270578098e-4,23
3331,1.9749511718962e-4,2161
3332,3.244784466537355e-5,4629
3333,1.7587860069578e-4,2504
